"first_name","last_name","nickname","wins","losses","draws","height","weight","reach","stance","birth_date","last_fight_date","total_fights"
"Aoriqileng","","The Mongolian Murderer",25,12,0,"5' 7""","135 lbs.","69""","Orthodox","Jun 25, 1993","August 20, 2022",37
"Yazmin","Jauregui","",11,2,0,"5' 3""","115 lbs.","64""","Orthodox","Feb 28, 1999","August 13, 2022",13
"Mohammed","Usman","The Motor",11,4,0,"6' 2""","239 lbs.","79""","Orthodox","Apr 01, 1989","August 06, 2022",15
"Maheshate","","",10,4,0,"6' 0""","155 lbs.","71""","Orthodox","Dec 01, 1999","June 11, 2022",14
"Aoriqileng","","The Mongolian Murderer",25,12,0,"5' 7""","135 lbs.","69""","Orthodox","Jun 25, 1993","April 23, 2022",37
"Dean","Barry","The Sniper",4,2,0,"5' 10""","170 lbs.","72""","Orthodox","Jul 03, 1992","April 23, 2022",6
"Alatengheili","","The Mongolian Knight",17,9,2,"5' 5""","135 lbs.","66""","Orthodox","Dec 14, 1991","April 16, 2022",28
"Aliaskhab","Khizriev","Black Wolf",14,0,0,"5' 9""","185 lbs.","74""","Southpaw","Aug 24, 1990","March 26, 2022",14
"Rongzhu","","",26,6,0,"5' 9""","155 lbs.","71""","Orthodox","Mar 07, 2000","February 26, 2022",32
"Chidi","Njokuani","Bang Bang",24,10,0,"6' 3""","170 lbs.","80""","Orthodox","Dec 31, 1988","February 05, 2022",34
"Rongzhu","","",26,6,0,"5' 9""","155 lbs.","71""","Orthodox","Mar 07, 2000","September 18, 2021",32
"Mana","Martinez","Manaboi",10,4,0,"5' 10""","135 lbs.","70""","Orthodox","Mar 25, 1996","August 28, 2021",14
"Aoriqileng","","The Mongolian Murderer",25,12,0,"5' 7""","135 lbs.","69""","Orthodox","Jun 25, 1993","April 24, 2021",37
"Cheyanne","Vlismas","The Warrior Princess",7,3,0,"5' 3""","115 lbs.","63""","Switch","Jun 25, 1995","March 20, 2021",10
"Sumudaerji","","The Tibetan Eagle",16,7,0,"5' 8""","125 lbs.","72""","Southpaw","Jan 20, 1996","January 20, 2021",23
"Sumudaerji","","The Tibetan Eagle",16,7,0,"5' 8""","125 lbs.","72""","Southpaw","Jan 20, 1996","November 28, 2020",23
"Alatengheili","","The Mongolian Knight",17,9,2,"5' 5""","135 lbs.","66""","Orthodox","Dec 14, 1991","December 21, 2019",28
"Shamil","Gamzatov","",14,1,0,"6' 2""","205 lbs.","76""","Orthodox","Aug 09, 1990","November 09, 2019",15
"Sumudaerji","","The Tibetan Eagle",16,7,0,"5' 8""","125 lbs.","72""","Southpaw","Jan 20, 1996","August 31, 2019",23
"Alatengheili","","The Mongolian Knight",17,9,2,"5' 5""","135 lbs.","66""","Orthodox","Dec 14, 1991","August 31, 2019",28
"Callan","Potter","The Rockstar",18,9,0,"6' 0""","170 lbs.","72""","Orthodox","Jun 09, 1984","February 09, 2019",27
"Wulijiburen","","Beast Master",20,9,0,"5' 9""","135 lbs.","69""","Orthodox","Mar 01, 1989","February 09, 2019",29
"Geraldo","de Freitas","Spartan",12,6,0,"5' 7""","135 lbs.","72""","Orthodox","Sep 30, 1991","February 02, 2019",18
"Alex","Gorgees","Hitman",6,1,0,"6' 2""","155 lbs.","74""","Switch","Aug 11, 1995","December 01, 2018",7
"Sumudaerji","","The Tibetan Eagle",16,7,0,"5' 8""","125 lbs.","72""","Southpaw","Jan 20, 1996","November 24, 2018",23
"Devonte","Smith","King Kage",11,4,0,"5' 9""","155 lbs.","76""","Orthodox","Jul 30, 1993","November 10, 2018",15
"Khalid","Murtazaliev","",14,2,0,"6' 0""","185 lbs.","76""","Orthodox","Jul 15, 1993","September 15, 2018",16
"Adam","Yandiev","Boroda",9,1,0,"5' 9""","185 lbs.","74""","Orthodox","Aug 07, 1988","September 15, 2018",10
"Jay","Cucciniello","",8,1,0,"5' 7""","155 lbs.","--","Orthodox","Jul 23, 1986","July 06, 2018",9
"Tyler","Diamond","",9,1,0,"5' 7""","145 lbs.","69""","Orthodox","Mar 18, 1991","July 06, 2018",10
"Maia","Stevenson","",6,5,0,"5' 4""","115 lbs.","62""","Orthodox","Mar 19, 1982","February 03, 2018",11
"Matt","Bessette","The Mangler",22,9,0,"5' 10""","145 lbs.","70""","Orthodox","Dec 28, 1984","January 20, 2018",31
"DeAnna","Bennett","The Argentine Assassin",8,3,1,"5' 4""","125 lbs.","68""","Orthodox","Nov 18, 1984","December 01, 2017",12
"Christina","Marks","",8,9,0,"5' 7""","125 lbs.","69""","Orthodox","Nov 08, 1985","December 01, 2017",17
"Karine","Gevorgyan","The Princess",3,3,0,"5' 4""","125 lbs.","63""","","Mar 09, 1989","December 01, 2017",6
"Ariel","Beck","",4,5,0,"5' 6""","125 lbs.","66""","Southpaw","Sep 16, 1990","December 01, 2017",9
"Wang","Guan","The Dongbei Tiger",20,1,1,"5' 9""","145 lbs.","71""","Orthodox","Mar 14, 1986","November 25, 2017",22
"Wulijiburen","","Beast Master",20,9,0,"5' 9""","135 lbs.","69""","Orthodox","Mar 01, 1989","November 25, 2017",29
"Gokhan","Saki","The Rebel",1,2,0,"6' 0""","205 lbs.","73""","Orthodox","Oct 19, 1983","September 22, 2017",3
"James","Mulheron","",11,2,0,"5' 10""","243 lbs.","73""","Orthodox","Feb 20, 1988","July 16, 2017",13
"Aiemann","Zahabi","",12,2,0,"5' 8""","135 lbs.","68""","Orthodox","Nov 19, 1987","February 19, 2017",14
"Devin","Powell","",9,4,0,"6' 0""","155 lbs.","73""","Orthodox","Mar 01, 1988","January 15, 2017",13
"Charlie","Ward","",3,3,0,"5' 11""","170 lbs.","--","Orthodox","Dec 17, 1980","November 19, 2016",6
"CM","Punk","",0,1,0,"6' 1""","170 lbs.","73""","Orthodox","Oct 26, 1978","September 10, 2016",1
"Cory","Hendricks","",3,1,0,"6' 3""","205 lbs.","--","Switch","May 10, 1988","July 08, 2016",4
"Cristiane","Justino","Cyborg",21,2,0,"5' 8""","145 lbs.","68""","Orthodox","Jul 09, 1985","May 14, 2016",23
"Filip","Pejic","",12,2,2,"5' 8""","135 lbs.","--","Orthodox","Jul 21, 1992","April 10, 2016",16
"Erick","Montano","Perry",7,5,0,"6' 0""","170 lbs.","73""","Orthodox","Nov 19, 1985","November 21, 2015",12
"Vernon","Ramos Ho","",3,1,0,"5' 6""","170 lbs.","--","Orthodox","Jun 03, 1992","November 21, 2015",4
"Cesar","Arzamendia","Goku",8,3,0,"5' 11""","155 lbs.","--","Orthodox","Jan 31, 1991","November 21, 2015",11
"Bruno","Korea","",7,3,0,"5' 6""","135 lbs.","65""","","Jun 28, 1991","November 07, 2015",10
"Glaico","Franca Moreira","Nego",15,5,0,"6' 0""","155 lbs.","77""","Orthodox","Feb 28, 1991","August 01, 2015",20
"Izabela","Badurek","",6,3,0,"5' 5""","115 lbs.","--","Orthodox","Jul 11, 1991","April 11, 2015",9
"Bentley","Syler","Bolivia",5,1,0,"5' 4""","125 lbs.","--","Orthodox","Dec 22, 1982","March 21, 2015",6
"Augusto","Montano","Dodger",15,3,0,"6' 1""","170 lbs.","73""","Orthodox","Oct 25, 1984","November 15, 2014",18
"Nolan","Ticman","",4,3,0,"5' 6""","125 lbs.","--","Orthodox","May 17, 1988","August 16, 2014",7
"Paddy","Holohan","The Hooligan",12,2,1,"5' 10""","125 lbs.","69""","Orthodox","May 03, 1988","July 19, 2014",15
"Robert","Drysdale","",7,0,0,"6' 3""","205 lbs.","--","Orthodox","Oct 05, 1981","July 06, 2014",7
"Joe","Ellenberger","Excalibur",15,2,0,"5' 9""","155 lbs.","72""","Orthodox","Mar 28, 1985","June 28, 2014",17
"Jason","Saggo","",12,4,0,"5' 11""","155 lbs.","71""","Orthodox","Nov 23, 1985","June 14, 2014",16
"Ricardo","Abreu","Demente",5,1,0,"5' 11""","185 lbs.","--","Orthodox","Apr 27, 1984","May 31, 2014",6
"Alan","Omer","",20,5,0,"5' 10""","145 lbs.","--","Orthodox","Sep 14, 1988","April 11, 2014",25
"Sai","Wang","The Fire Kylin",20,6,1,"6' 0""","170 lbs.","--","Southpaw","Jan 14, 1986","March 01, 2014",27
"Albert","Cheng","",7,4,0,"5' 11""","170 lbs.","--","Orthodox","Feb 07, 1985","March 01, 2014",11
"Jumabieke","Tuerxun","The Wild Wolf",19,4,1,"5' 7""","135 lbs.","--","Orthodox","Apr 17, 1986","March 01, 2014",24
"Richie","Vaculik","Vas",10,4,0,"5' 6""","125 lbs.","69""","Orthodox","Jun 19, 1983","December 06, 2013",14
"Chris","Holdsworth","",6,0,0,"5' 11""","135 lbs.","--","","Oct 24, 1987","November 30, 2013",6
"Jessamyn","Duke","The Gun",3,5,0,"5' 11""","135 lbs.","73""","Orthodox","Jun 24, 1986","November 30, 2013",8
"Yan","Cabral","",13,3,0,"5' 11""","155 lbs.","73""","Orthodox","May 13, 1983","October 09, 2013",16
"Nandor","Guelmino","The Hun",11,5,1,"6' 3""","230 lbs.","--","","Dec 20, 1975","September 21, 2013",17
"Julie","Kedzie","",16,13,0,"5' 5""","135 lbs.","--","Orthodox","Mar 18, 1981","July 27, 2013",29
"William","Macario","Patolino",9,3,0,"5' 11""","170 lbs.","75""","Orthodox","Jul 01, 1991","June 08, 2013",12
"Dylan","Andrews","The Villain",18,7,0,"6' 1""","185 lbs.","74""","Switch","Nov 15, 1979","April 13, 2013",25
"Ryan","Couture","",11,5,0,"5' 10""","155 lbs.","73""","Orthodox","Aug 27, 1982","April 06, 2013",16
"Chris","Spang","The Kiss",6,3,0,"6' 2""","170 lbs.","--","Orthodox","Nov 26, 1987","April 06, 2013",9
"Jon","Manley","",9,4,0,"6' 1""","170 lbs.","--","Orthodox","Jul 07, 1986","February 23, 2013",13
"Colton","Smith","",7,4,0,"6' 0""","155 lbs.","71""","Orthodox","Aug 14, 1987","December 15, 2012",11
"Brendan","Loughnane","",17,3,0,"5' 10""","145 lbs.","70""","Switch","Dec 05, 1989","December 14, 2012",20
"Anistavio","Medeiros","Gasparzinho",19,10,0,"5' 6""","145 lbs.","--","Orthodox","May 01, 1988","June 23, 2012",29
"Delson","Heleno","Pe De Chumbo",29,10,0,"5' 11""","185 lbs.","--","Orthodox","Nov 16, 1977","June 23, 2012",39
"John","Teixeira","Macapa",21,2,2,"5' 7""","145 lbs.","--","Orthodox","Nov 18, 1986","June 23, 2012",25
"Thiago","Perpetuo","Bodao",9,4,1,"5' 10""","170 lbs.","--","Orthodox","Dec 14, 1987","June 23, 2012",14
"Justin","Lawrence","The American Kidd",10,4,0,"5' 8""","145 lbs.","67""","Orthodox","May 15, 1990","June 01, 2012",14
"Cristiano","Marcello","",13,6,0,"5' 9""","155 lbs.","72""","Orthodox","Dec 03, 1977","June 01, 2012",19
"Roland","Delorme","",9,5,0,"5' 9""","135 lbs.","71""","Orthodox","Dec 18, 1983","December 03, 2011",14
"Ramsey","Nijem","",9,6,0,"5' 11""","155 lbs.","75""","Orthodox","Apr 01, 1988","June 04, 2011",15
"Chuck","O'Neil","Cold Steel",17,9,0,"6' 2""","170 lbs.","--","","Sep 22, 1985","June 04, 2011",26
"Ryan","McGillivray","The Kid",12,0,1,"5' 11""","170 lbs.","--","","Sep 27, 1986","June 04, 2011",13
"Tom","Blackledge","",10,7,0,"--","205 lbs.","--","Orthodox","--","February 26, 2011",17
"Zhang","Tiequan","The Wolf",15,4,0,"5' 8""","155 lbs.","69""","Orthodox","Jul 25, 1978","February 26, 2011",19
"Maciej","Jewtuszko","Irokez",12,3,0,"6' 0""","155 lbs.","--","Southpaw","Jan 31, 1981","February 26, 2011",15
"Miguel","Torres","",44,9,0,"5' 9""","135 lbs.","76""","Orthodox","Jan 18, 1981","February 05, 2011",53
"Jesse","Bongfeldt","Water",16,5,1,"6' 0""","185 lbs.","--","Orthodox","Aug 28, 1980","December 11, 2010",22
"Sako","Chivitchian","",8,1,0,"5' 11""","155 lbs.","--","Orthodox","Mar 11, 1984","December 04, 2010",9
"Will","Campuzano","",14,6,0,"5' 9""","125 lbs.","70""","Orthodox","May 27, 1986","December 04, 2010",20
"Fredson","Paixao","",10,5,0,"5' 6""","145 lbs.","66""","Orthodox","May 13, 1979","December 04, 2010",15
"Jamie","Yager","The Chosyn 1",8,4,0,"6' 1""","185 lbs.","--","Orthodox","Nov 29, 1983","June 19, 2010",12
"Josh","Bryant","The Beast",15,4,0,"5' 10""","185 lbs.","--","Orthodox","Apr 23, 1980","June 19, 2010",19
"Gerald","Harris","",23,5,0,"5' 11""","185 lbs.","77""","Southpaw","Nov 19, 1979","January 11, 2010",28
"Kevin","Ferguson","Kimbo Slice",5,2,0,"6' 2""","235 lbs.","77""","Orthodox","Feb 08, 1974","December 05, 2009",7
"James","McSweeney","The Hammer",15,15,0,"6' 4""","230 lbs.","77""","Switch","Oct 24, 1980","December 05, 2009",30
"Jon","Madsen","",8,2,0,"6' 0""","240 lbs.","72""","Orthodox","Feb 12, 1980","December 05, 2009",10
"George","Sotiropoulos","",14,7,0,"5' 10""","155 lbs.","71""","Orthodox","Jul 09, 1977","December 08, 2007",21
"Logan","Clark","",18,6,0,"6' 2""","185 lbs.","--","Orthodox","Feb 16, 1985","December 13, 2006",24
"Tom","Murphy","",8,0,0,"6' 2""","227 lbs.","--","Southpaw","Nov 19, 1974","March 04, 2006",8
"Jonathan","Wiezorek","",11,2,0,"6' 3""","250 lbs.","--","Southpaw","Feb 10, 1978","April 02, 2004",13
"Lee","Murray","Lightning",8,2,1,"6' 3""","185 lbs.","--","Orthodox","Sep 12, 1977","January 31, 2004",11
"Phillip","Miller","",16,0,0,"5' 11""","185 lbs.","--","Orthodox","Feb 20, 1979","July 13, 2002",16
"Mark","Hughes","",6,2,0,"5' 9""","205 lbs.","--","Southpaw","Oct 13, 1973","November 17, 2000",8
"Ben","Earwood","",12,3,0,"5' 8""","170 lbs.","--","Orthodox","--","November 17, 2000",15
"Tyrone","Roberts","Native Warrior",43,12,1,"5' 9""","185 lbs.","--","Orthodox","--","June 09, 2000",56
"Sanae","Kikuta","",31,9,3,"5' 9""","200 lbs.","--","Orthodox","Sep 10, 1971","April 14, 2000",43
"Ikuhisa","Minowa","Minowaman",60,42,8,"5' 9""","181 lbs.","--","Orthodox","Jan 12, 1976","April 14, 2000",110
"Bob","Cook","Crazy",5,0,0,"5' 9""","170 lbs.","--","Orthodox","--","March 10, 2000",5
"Scott","Adams","",8,1,0,"6' 0""","225 lbs.","--","Southpaw","--","March 10, 2000",9
"Marcelo","Mello","",1,0,0,"5' 7""","170 lbs.","--","Southpaw","--","May 07, 1999",1
"Sione","Latu","",1,0,0,"6' 0""","215 lbs.","--","","--","March 05, 1999",1
"Bas","Rutten","El Guapo",28,4,1,"6' 1""","205 lbs.","--","Orthodox","Feb 24, 1965","January 08, 1999",33
"Ebenezer","Fontes Braga","Pitbull",13,7,2,"6' 0""","199 lbs.","--","Orthodox","Apr 14, 1969","October 16, 1998",22
"Tulio","Palhares","",2,16,0,"--","180 lbs.","--","","--","October 16, 1998",18
"Cesar","Marscucci","",3,2,0,"--","--","--","","--","October 16, 1998",5
"Frank","Shamrock","",23,10,2,"5' 10""","185 lbs.","--","Orthodox","Dec 08, 1972","December 21, 1997",35
"Kazushi","Sakuraba","The Gracie Hunter",26,17,1,"6' 0""","185 lbs.","--","Southpaw","Jul 14, 1969","December 21, 1997",44
"Mark","Kerr","The Smashing Machine",15,11,0,"6' 3""","266 lbs.","--","Switch","Dec 21, 1968","July 27, 1997",26
"Alex","Hunter","",2,0,0,"5' 9""","226 lbs.","--","Orthodox","--","July 27, 1997",2
"Enson","Inoue","Yamato Damashii",12,8,0,"5' 10""","210 lbs.","--","Orthodox","Apr 15, 1967","May 30, 1997",20
"Yoshiki","Takahashi","Kazuo",30,27,3,"5' 11""","199 lbs.","--","Southpaw","Mar 13, 1969","February 07, 1997",60
"Justin","Martin","",4,3,0,"6' 0""","185 lbs.","--","","--","February 07, 1997",7
"Mark","Schultz","",1,1,0,"5' 9""","200 lbs.","--","Orthodox","--","May 17, 1996",2
"Rafael","Carino","",2,1,1,"6' 8""","245 lbs.","--","Orthodox","--","May 17, 1996",4
"Onassis","Parungao","",2,1,0,"5' 11""","200 lbs.","--","","--","September 08, 1995",3
"Joel","Sutton","",2,4,1,"5' 11""","205 lbs.","--","Orthodox","--","July 14, 1995",7
"Jon","Hess","",1,1,0,"6' 7""","295 lbs.","--","","--","April 07, 1995",2
"Frank","Hamaker","",1,0,0,"--","--","--","","--","March 11, 1994",1
"Julius","Walker","Juice Box",6,1,0,"6' 4""","205 lbs.","78""","Orthodox","Jul 16, 1999","February 22, 2025",7
"Ibo","Aslan","The Last Ottoman",14,2,0,"6' 3""","205 lbs.","77""","Orthodox","Apr 23, 1996","February 22, 2025",16
"Austin","Vanderford","",13,2,0,"5' 11""","170 lbs.","74""","Orthodox","Mar 21, 1990","February 22, 2025",15
"Eric","McConico","",9,3,1,"6' 0""","185 lbs.","77""","Southpaw","May 09, 1990","February 22, 2025",13
"Nazim","Sadykhov","Black Wolf",10,1,1,"5' 10""","155 lbs.","69""","Southpaw","May 16, 1994","February 15, 2025",12
"Jose","Delgado","",9,1,0,"5' 11""","145 lbs.","73""","Switch","Apr 21, 1998","February 15, 2025",10
"Elijah","Smith","Swift",8,1,0,"5' 9""","135 lbs.","71""","Orthodox","Sep 05, 2002","February 15, 2025",9
"Tallison","Teixeira","Xicao",8,0,0,"6' 7""","258 lbs.","83""","Orthodox","Dec 07, 1999","February 08, 2025",8
"Rodolfo","Bellato","Trator",12,2,1,"6' 3""","205 lbs.","77""","Orthodox","Feb 05, 1996","February 08, 2025",15
"Aleksandre","Topuria","El Conquistador",6,1,0,"5' 7""","135 lbs.","68""","Orthodox","Jan 28, 1996","February 08, 2025",7
"Kody","Steele","",7,1,0,"5' 9""","155 lbs.","71""","Orthodox","Apr 21, 1995","February 08, 2025",8
"Kaan","Ofli","Genghis",12,4,1,"5' 7""","145 lbs.","66""","Orthodox","Jun 19, 1993","February 01, 2025",17
"Azamat","Bekoev","Iron",19,3,0,"6' 0""","185 lbs.","72""","Orthodox","Dec 30, 1995","January 18, 2025",22
"Billy","Elekana","Son Of Susie",7,2,0,"6' 3""","205 lbs.","77""","Southpaw","May 28, 1995","January 18, 2025",9
"Clayton","Carpenter","",8,1,0,"5' 6""","125 lbs.","66""","Orthodox","Jun 09, 1996","January 18, 2025",9
"Austin","Bashi","",13,1,0,"5' 6""","145 lbs.","70""","Orthodox","Sep 29, 2001","January 11, 2025",14
"Jacobe","Smith","Cobe",10,0,0,"5' 10""","170 lbs.","72""","Southpaw","Jan 17, 1996","January 11, 2025",10
"Nicolle","Caliari","",8,3,0,"5' 3""","125 lbs.","62""","Orthodox","Nov 04, 1996","January 11, 2025",11
"Bruno","Lopes","Brunao",14,1,0,"6' 2""","205 lbs.","74""","Orthodox","Apr 24, 1993","January 11, 2025",15
"Viktoriia","Dudakova","",8,2,0,"5' 5""","115 lbs.","67""","Orthodox","Jan 26, 1999","January 11, 2025",10
"Kai","Asakura","",21,5,0,"5' 8""","125 lbs.","69""","Orthodox","Oct 31, 1993","December 07, 2024",26
"Ozzy","Diaz","",9,3,0,"6' 4""","185 lbs.","79""","Orthodox","Nov 22, 1990","November 23, 2024",12
"SuYoung","You","Yoo-jitsu",14,3,0,"5' 6""","135 lbs.","65""","Orthodox","Dec 11, 1995","November 23, 2024",17
"DongHun","Choi","",9,0,0,"5' 5""","125 lbs.","66""","Switch","Jan 02, 1999","November 23, 2024",9
"Feng","Xiaocan","",10,3,0,"5' 7""","115 lbs.","66""","Southpaw","Dec 27, 2001","November 23, 2024",13
"Jose","Ochoa","Kalzifer",7,1,0,"5' 7""","125 lbs.","67""","Southpaw","Dec 31, 2000","November 23, 2024",8
"Roberto","Romero","El Charro Negro",8,4,1,"5' 8""","145 lbs.","70""","Orthodox","Jan 30, 2000","November 16, 2024",13
